User_ID,Product_ID,Gender,Age,Occupation,City_Category,Stay_In_Current_City_Years,Marital_Status,Product_Category,Purchase
1003062,P0029867,M,26-35,18,C,0,0,5,22513
1001064,P0066523,M,36-45,13,B,2,0,1,20271
1009006,P0094161,M,18-25,4,A,3,1,1,380
1003568,P0016378,M,18-25,9,B,2,0,18,18999
1006463,P0094685,M,18-25,16,C,0,1,3,2555
1003027,P0086958,M,26-35,19,A,1,0,10,16473
1003695,P0037926,M,36-45,15,A,3,0,11,14114
1006258,P0023180,M,18-25,16,B,2,1,8,15410
1006618,P0046931,M,36-45,0,B,3,0,11,22477
1007736,P0034014,M,26-35,20,B,3,1,5,17252
1001391,P0089872,M,55+,14,A,2,0,4,19570
1006892,P0068502,F,36-45,16,B,1,0,13,17029
1004561,P0097736,M,36-45,10,C,3,1,6,11543
1007184,P0015470,M,26-35,4,B,1,0,2,13413
1004099,P0024953,F,55+,3,B,1,1,6,6151
1007278,P0048507,M,55+,20,B,0,0,10,4346
1009392,P0016523,M,26-35,8,B,2,0,4,15569
1004104,P0096923,M,26-35,15,A,0,1,16,22417
1008215,P0067190,M,26-35,11,B,4+,1,10,23245
1003454,P0057761,M,26-35,17,A,0,0,1,13154
1009996,P0041169,M,26-35,2,B,3,1,13,113
1003731,P0055641,M,26-35,14,B,3,0,14,9693
1009154,P0032990,M,51-55,17,A,3,1,12,18738
1006056,P0039661,F,26-35,11,B,4+,0,13,15706
1009110,P0023419,M,46-50,12,A,1,0,1,11074
1004840,P0024457,F,26-35,0,A,3,0,14,13167
1002028,P0077600,M,36-45,3,B,0,1,8,5606
1008385,P0086102,M,26-35,7,C,1,0,14,1198
1001502,P0043085,M,36-45,18,B,0,1,1,8216
1007910,P0060654,M,26-35,20,B,0,1,17,13454
1007938,P0016130,M,26-35,20,B,3,0,16,19688
1005488,P0012042,F,46-50,4,B,0,0,12,8722
1001206,P0080134,M,18-25,10,C,4+,1,5,894
1006134,P0052982,M,26-35,16,C,1,0,18,20450
1006977,P0075185,M,18-25,16,C,3,0,4,11799
1008721,P0043477,F,46-50,1,C,3,1,11,8499
1008035,P0062709,M,26-35,0,A,0,0,8,15174
1002484,P0038716,M,36-45,3,B,0,0,9,2611
1008858,P0088137,M,18-25,8,C,2,0,10,24499
1001863,P0046018,M,26-35,1,B,2,0,7,679
1003790,P0018061,F,51-55,2,C,3,0,1,7235
1008408,P0018609,F,18-25,5,A,3,0,5,2930
1009755,P0045371,M,36-45,12,B,0,0,6,6269
1006116,P0093021,M,18-25,14,C,4+,1,12,11280
1007019,P0030805,F,26-35,10,B,4+,1,12,24415
1002757,P0017857,M,26-35,9,C,0,1,14,12397
1008574,P0021620,F,26-35,2,A,2,1,7,9925
1007374,P0018177,M,26-35,19,C,2,0,14,20578
1007892,P0040111,M,36-45,8,C,4+,0,16,9812
1002678,P0098578,M,26-35,9,B,3,1,9,19965
1004242,P0094181,M,26-35,20,A,0,1,2,15595
1005636,P0099941,F,18-25,11,A,3,1,17,15283
1002059,P0021826,M,36-45,7,C,2,0,4,14979
1007668,P0023890,M,46-50,20,C,4+,1,14,195
1004157,P0092428,M,18-25,20,A,3,0,14,12176
1006915,P0068031,M,18-25,20,A,2,1,15,3610
1003693,P0085020,M,18-25,16,C,2,0,12,21359
1004627,P0015495,F,55+,4,C,2,0,13,5907
1006450,P0038481,M,36-45,7,A,3,0,10,714
1002663,P0021267,F,26-35,17,B,1,0,16,13229
1006592,P0016743,M,26-35,10,C,4+,0,15,7304
1008392,P0064800,M,26-35,9,B,2,0,8,7477
1002306,P0058773,F,26-35,14,C,3,0,4,7123
1007776,P0067042,M,36-45,5,B,0,0,1,11778
1006864,P0059476,M,26-35,18,C,4+,1,14,14406
1008526,P0038552,M,46-50,16,B,0,0,9,8034
1009901,P0075242,M,26-35,9,C,0,0,6,8104
1006575,P0055772,M,18-25,4,B,3,0,16,10437
1006530,P0053730,M,36-45,15,A,1,0,11,22046
1005413,P0038948,M,26-35,11,B,3,1,11,9351
1004748,P0086311,M,51-55,20,C,3,0,14,11309
1001663,P0079093,M,26-35,4,B,4+,0,11,10064
1002998,P0079123,F,26-35,20,B,3,0,14,5734
1008994,P0026535,M,36-45,0,B,4+,0,1,10286
1002495,P0076490,M,26-35,1,A,2,0,11,21823
1004304,P0056562,M,26-35,4,A,4+,0,18,15821
1004763,P0099080,M,55+,18,B,3,1,17,23582
1006232,P0068535,M,26-35,14,B,2,1,4,7148
1002853,P0051269,M,26-35,0,C,2,1,14,5757
1007585,P0090674,M,46-50,10,C,1,0,8,8813
1002291,P0052462,M,0-17,17,C,3,1,15,1022
1004581,P0013127,M,18-25,2,B,0,0,16,20688
1008554,P0033147,F,26-35,8,C,3,0,1,21409
1008280,P0055528,M,18-25,3,A,0,0,1,9496
1002636,P0087095,M,55+,12,A,1,0,10,6585
1004696,P0078931,M,26-35,8,A,3,0,2,7924
1001698,P0076381,M,26-35,2,B,1,1,12,11412
1005737,P0073749,F,18-25,15,A,0,0,4,9788
1001854,P0048672,F,26-35,7,B,4+,0,1,21245
1009164,P0023731,M,36-45,6,B,3,1,1,6799
1006855,P0064512,M,26-35,16,B,2,0,9,5455
1008392,P0061024,M,36-45,15,B,2,0,13,12283
1007528,P0013832,F,26-35,20,B,1,0,11,1564
1006249,P0042332,F,36-45,17,A,4+,1,17,14683
1006172,P0022467,M,26-35,15,A,2,0,3,2134
1002707,P0051025,M,26-35,14,A,2,0,13,3690
1006791,P0023107,M,26-35,1,A,3,1,9,23323
1006535,P0087994,M,18-25,19,B,2,0,1,22991
1005931,P0053481,M,26-35,3,C,0,0,17,8780
1004510,P0012581,M,0-17,4,B,1,1,14,7467
1001202,P0085118,M,26-35,6,B,2,0,12,20321
1005218,P0061638,M,36-45,14,C,3,1,2,1526
1009958,P0018418,M,18-25,16,A,0,1,3,15704
1005389,P0039113,M,51-55,9,A,2,0,5,1699
1003327,P0094363,M,26-35,19,B,1,1,3,18318
1009004,P0073044,M,51-55,8,B,1,1,14,15247
1003931,P0089955,F,18-25,15,B,1,1,18,13052
1008777,P0071030,F,51-55,2,C,2,1,5,9332
1001197,P0021814,M,18-25,8,A,0,0,3,16522
1008125,P0020024,M,26-35,7,B,4+,0,2,19398
1002930,P0073288,M,51-55,6,A,1,0,9,6538
1007287,P0067836,M,26-35,16,C,0,0,18,24714
1009800,P0017435,M,18-25,4,C,3,1,2,16670
1005282,P0077084,F,36-45,6,B,3,1,3,21541
1003511,P0080601,M,26-35,12,A,0,0,18,19315
1001659,P0098416,F,26-35,17,B,3,1,14,10701
1003811,P0013407,F,18-25,13,A,3,0,13,4657
1008098,P0042940,F,36-45,17,B,1,1,16,768
1007546,P0015666,M,18-25,2,B,2,1,11,5450
1002986,P0047122,M,51-55,16,C,2,0,12,19237
1009338,P0035092,M,36-45,18,B,2,0,3,5469
1003911,P0085645,M,36-45,6,A,2,1,6,4973
1002734,P0036505,M,26-35,20,A,0,0,16,20030
1002843,P0046713,M,46-50,3,A,1,0,12,4848
1009680,P0064387,M,26-35,14,A,0,1,6,281
1003976,P0053169,F,46-50,7,C,3,1,14,6245
1002959,P0083282,M,26-35,15,A,1,1,9,19725
1006759,P0087511,M,36-45,0,C,4+,1,17,13681
1007694,P0061742,F,26-35,15,B,2,0,12,19407
1003385,P0050522,M,18-25,1,B,3,0,1,10388
1005736,P0091132,M,26-35,1,B,2,1,8,17929
1002802,P0013880,F,18-25,7,C,2,1,12,23623
1009155,P0053454,F,26-35,11,B,2,1,16,16389
1009120,P0065711,M,26-35,10,B,4+,0,1,1408
1007616,P0053539,F,26-35,5,B,3,1,3,14290
1006534,P0078321,M,26-35,18,C,2,0,12,8671
1005061,P0097985,F,26-35,17,B,2,0,4,18339
1001262,P0024799,F,18-25,4,B,1,0,10,13171
1007287,P0070102,M,36-45,14,B,2,1,2,8847
1009815,P0060726,M,51-55,7,A,1,1,9,21151
1003049,P0058784,M,26-35,5,A,3,0,3,9514
1006423,P0053333,M,18-25,11,A,3,0,1,16592
1005548,P0050828,F,26-35,18,C,3,1,5,24740
1004108,P0079526,M,36-45,11,B,1,1,5,6134
1008158,P0064362,M,36-45,11,C,4+,0,2,24336
1008400,P0063997,F,36-45,8,C,4+,1,15,13509
1004170,P0060341,F,18-25,9,A,2,1,1,11492
1003255,P0029073,F,46-50,16,B,3,0,5,5820
1002154,P0024549,M,26-35,17,C,0,0,7,12354
1005499,P0093795,M,26-35,15,B,2,1,11,4027
1007295,P0066920,M,18-25,3,B,4+,0,10,2597
1007197,P0095326,M,26-35,17,C,4+,0,2,3076
1002648,P0085515,M,36-45,2,A,3,1,14,840
1006539,P0030316,M,36-45,15,C,1,1,5,16954
1005199,P0036183,M,55+,13,B,2,1,16,18149
1009445,P0034624,F,18-25,8,B,1,1,2,12007
1003557,P0072515,M,55+,5,A,4+,1,10,20474
1006592,P0095781,M,36-45,3,C,3,0,18,24785
1001098,P0056705,M,26-35,1,B,4+,0,5,12172
1003200,P0099326,M,46-50,9,B,3,0,17,20873
1003961,P0036756,M,36-45,10,C,0,1,11,18746
1005973,P0070390,F,26-35,6,C,1,1,5,13723
1005433,P0078369,M,46-50,4,C,2,0,6,13615
1003869,P0080821,M,36-45,3,A,3,0,16,1059
1001956,P0019589,M,36-45,5,C,0,1,5,1659
1009352,P0024116,M,51-55,1,B,0,0,16,17164
1006699,P0083181,M,26-35,1,B,1,0,17,15777
1007944,P0054786,M,36-45,15,C,3,1,9,20257
1005493,P0086425,M,36-45,12,A,2,0,2,12653
1005911,P0040286,F,26-35,20,A,2,0,17,5091
1004987,P0025994,M,18-25,6,B,2,1,5,15429
1007015,P0036639,M,36-45,4,C,4+,1,2,18434
1002218,P0027205,F,18-25,16,B,4+,0,11,4794
1005496,P0066677,M,36-45,12,B,3,1,1,23541
1005735,P0042930,F,51-55,14,B,2,1,9,13930
1005555,P0083313,M,26-35,2,B,0,0,6,4862
1009050,P0028316,M,18-25,3,C,2,1,11,10220
1004446,P0037304,M,26-35,14,A,3,0,8,18551
1002045,P0097876,M,26-35,17,C,2,0,13,12127
1007893,P0095366,M,51-55,2,C,1,0,12,10200
1002693,P0023403,M,26-35,6,B,2,1,9,8248
1004436,P0090052,M,18-25,7,B,0,0,15,9663
1009754,P0094627,M,36-45,10,A,3,1,5,23840
1006895,P0083495,F,36-45,8,C,3,1,15,10406
1004354,P0041932,F,26-35,19,B,0,0,2,6608
1001225,P0046701,M,36-45,11,B,3,1,15,11252
1005893,P0013385,F,26-35,4,B,2,0,3,18476
1008022,P0067241,F,36-45,0,B,3,0,10,15412
1006600,P0020367,M,26-35,13,C,2,0,7,3331
1008996,P0075030,M,26-35,2,C,3,0,10,15251
1008683,P0056505,F,46-50,14,B,2,0,10,12415
1005642,P0043332,M,26-35,9,B,2,1,8,18997
1008679,P0095178,M,26-35,9,C,0,0,13,16159
1009208,P0086325,M,51-55,2,B,0,0,2,18345
1008339,P0045268,M,36-45,5,A,4+,0,12,22429
1003205,P0096486,F,26-35,4,C,0,0,9,21812
1002069,P0035563,M,36-45,18,C,2,0,1,13848
1004444,P0046404,F,46-50,13,B,2,0,12,2413
1002060,P0065182,F,36-45,16,A,3,0,12,17253
1003327,P0042991,M,26-35,11,C,3,1,3,7236
1004420,P0057663,M,36-45,8,B,4+,0,8,3662
1001301,P0075886,M,36-45,2,C,2,0,13,9724
1001606,P0093848,M,46-50,17,C,4+,0,17,10249
1004170,P0034127,M,18-25,3,C,2,1,10,10596
1001699,P0067692,F,36-45,13,C,0,1,15,1459
1006088,P0047500,M,0-17,5,A,3,1,9,17740
1001190,P0043785,M,36-45,14,C,4+,0,18,7983
1001980,P0094146,M,55+,16,A,1,0,8,8364
1003975,P0099126,F,18-25,4,C,2,0,14,13424
1007102,P0057997,M,26-35,5,B,0,0,11,5220
1002184,P0017170,F,26-35,20,B,1,0,13,9474
1004327,P0023303,M,36-45,4,A,0,0,16,5728
1004394,P0081743,M,26-35,18,C,0,0,14,8774
1009319,P0087852,M,36-45,13,A,2,0,9,2342
1002816,P0045187,M,51-55,3,B,0,0,9,8694
1006854,P0075034,M,36-45,4,C,4+,0,5,6247
1007709,P0081776,M,36-45,10,C,1,0,15,864
1001569,P0011893,M,26-35,1,A,0,0,11,24447
1006442,P0023753,M,51-55,1,B,0,0,6,1935
1002895,P0048090,M,26-35,19,A,3,0,10,10881
1003733,P0074922,F,18-25,11,C,3,0,16,9095
1004863,P0086768,M,26-35,15,C,4+,0,5,6168
1008455,P0069412,M,36-45,16,B,3,0,18,12509
1005014,P0066030,F,46-50,3,A,0,0,10,19486
1002686,P0027509,F,18-25,13,B,0,1,10,23610
1004009,P0078653,F,46-50,6,C,1,1,12,19303
1008806,P0046929,M,46-50,14,A,3,1,3,13652
1001154,P0058291,F,26-35,15,B,2,0,4,3224
1002409,P0014042,M,36-45,7,B,3,0,12,3295
1001784,P0072574,M,18-25,1,C,0,0,7,13499
1009096,P0047201,F,18-25,18,C,1,1,12,24985
1008560,P0024016,M,46-50,0,B,3,1,3,7095
1008343,P0035022,M,26-35,3,B,1,1,18,12944
1008206,P0037938,M,26-35,20,B,3,0,5,11252
1006596,P0053678,F,36-45,10,B,4+,0,14,13987
1006801,P0071720,M,51-55,9,B,0,0,8,6941
1003806,P0066805,M,36-45,17,B,0,1,15,22640
1001537,P0084323,M,26-35,0,A,2,0,16,2356
1006986,P0011986,M,26-35,16,C,0,1,18,16918
1002841,P0086478,F,36-45,15,A,2,0,11,11415
1009716,P0092994,M,18-25,11,A,0,1,2,8178
1007971,P0022161,M,26-35,15,B,3,0,10,6119
1006625,P0030689,F,26-35,8,A,3,1,11,949
1003950,P0070924,M,26-35,16,B,4+,0,5,24782
1008992,P0084308,M,26-35,2,B,3,0,17,19155
1005780,P0073745,F,26-35,17,C,1,0,1,24795
1003368,P0011211,M,18-25,14,C,3,1,14,6310
1007655,P0010229,M,18-25,14,C,2,1,15,14517
1009173,P0058542,M,26-35,15,A,4+,0,7,8244
1005495,P0024345,F,26-35,19,C,1,0,8,13101
1007002,P0041819,F,26-35,0,B,1,0,16,22300
1007614,P0057779,F,26-35,0,B,0,0,13,5888
1006919,P0092421,F,26-35,3,B,2,0,5,16087
1001853,P0075584,F,26-35,12,B,3,1,3,2261
1005146,P0029950,F,26-35,3,C,3,0,13,20200
1004769,P0025173,M,18-25,7,B,0,0,12,9051
1001574,P0068032,M,18-25,12,B,3,1,17,1746
1002148,P0038036,M,26-35,7,A,1,1,11,13347
1007293,P0081356,M,55+,13,C,3,0,3,8523
1007457,P0024292,M,26-35,0,C,3,0,2,9886
1008509,P0013052,M,51-55,8,B,1,1,14,17045
1005777,P0054377,M,26-35,0,C,2,0,17,22943
1004854,P0099317,M,26-35,6,C,2,0,2,1906
1003491,P0077838,F,36-45,19,B,1,1,18,975
1004124,P0077819,F,18-25,12,B,1,1,15,6614
1006691,P0025620,F,18-25,14,B,4+,1,12,20219
1004051,P0040461,F,55+,8,A,4+,0,16,9848
1001004,P0030750,M,26-35,15,C,3,0,16,20837
1006222,P0098719,M,18-25,16,B,3,0,7,13110
1006315,P0019472,M,18-25,8,B,4+,0,6,2576
1005869,P0079263,M,51-55,5,C,3,0,14,7861
1001876,P0067602,M,46-50,19,A,2,0,8,13421
1008027,P0035523,M,26-35,11,B,2,0,12,16400
1005142,P0040766,M,18-25,15,A,0,1,9,776
1007966,P0076060,M,46-50,20,A,4+,1,9,23290
1008079,P0019079,F,26-35,14,B,2,0,5,20240
1008987,P0018399,M,26-35,6,C,0,0,14,8716
1007799,P0070726,M,36-45,9,B,1,0,1,1700
1005465,P0026532,M,26-35,3,B,2,0,3,22365
1001635,P0092357,M,36-45,2,A,0,0,11,1440
1002693,P0053162,M,46-50,17,B,3,1,4,19492
1005752,P0013749,M,36-45,0,C,0,0,1,18549
1009311,P0021353,M,26-35,12,B,2,0,6,8034
1001830,P0038477,F,26-35,17,C,3,0,10,267
1006177,P0034570,M,26-35,7,C,3,0,4,8308
1009932,P0096373,F,26-35,10,B,0,0,17,7152
1009308,P0021437,F,26-35,9,B,0,1,5,1645
1006949,P0048104,M,26-35,3,C,2,1,2,18014
1003838,P0073370,M,18-25,3,C,3,1,1,3913
1002150,P0014551,M,18-25,3,A,4+,0,16,1597
1008560,P0078359,M,26-35,11,B,0,1,7,642
1002931,P0064880,M,26-35,7,B,4+,0,3,14741
1002664,P0022916,M,26-35,12,B,4+,1,14,16862
1002081,P0090703,M,26-35,7,C,3,0,16,4535
1001512,P0051445,F,36-45,20,B,2,1,6,4402
1008805,P0057636,F,36-45,2,B,4+,0,1,11785
1006237,P0083927,F,26-35,11,B,2,1,7,6382
1001559,P0088194,M,18-25,17,A,0,0,11,9137
1004672,P0039685,F,26-35,14,A,3,0,18,14819
1008404,P0061134,M,26-35,13,B,1,0,9,3952
1004343,P0098916,M,18-25,8,B,3,0,3,21305
1005070,P0077847,F,55+,4,B,1,0,8,773
1001580,P0049993,M,26-35,14,A,0,0,8,3620
1008004,P0054333,M,36-45,7,B,2,0,1,14280
1009130,P0068865,M,26-35,2,C,0,0,10,11331
1004147,P0089096,M,18-25,11,C,3,0,15,22830
1005249,P0059756,M,18-25,4,A,1,0,10,2157
1002679,P0071192,M,36-45,8,B,1,0,8,21679
1004506,P0070686,M,26-35,19,C,3,0,2,22349
1008253,P0058733,M,26-35,2,B,3,0,18,17221
1003744,P0035993,F,51-55,7,C,0,1,2,12250
1006188,P0040492,M,26-35,20,C,4+,1,9,6247
1003141,P0030981,M,0-17,12,A,1,1,10,14072
1007617,P0034143,F,26-35,7,B,3,0,4,2753
1003479,P0087603,M,26-35,4,A,0,1,1,9353
1007484,P0099452,M,26-35,6,A,4+,0,11,7356
1008421,P0070277,M,0-17,4,C,2,0,2,11513
1005452,P0059990,M,26-35,8,C,3,1,4,6849
1006881,P0072888,M,18-25,4,A,4+,1,15,11676
1007665,P0079351,M,36-45,7,B,2,1,13,5206
1003849,P0059999,M,36-45,11,B,2,0,1,18631
1008390,P0080309,M,18-25,3,B,0,0,2,23910
1007905,P0022446,M,26-35,8,B,1,0,6,17786
1003489,P0040733,F,26-35,13,C,3,0,7,3175
1005611,P0086000,M,26-35,18,A,4+,1,4,6833
1003839,P0058632,F,26-35,12,A,2,0,18,4905
1009527,P0031576,F,26-35,2,A,1,0,9,14761
1006878,P0013320,M,55+,3,B,2,0,11,10252
1007303,P0020750,M,18-25,0,B,3,0,5,18184
1001851,P0063463,F,55+,0,B,3,1,1,24170
1002687,P0036572,F,18-25,10,B,0,0,2,1124
1007833,P0027948,M,26-35,15,C,3,0,3,17925
1003427,P0048826,F,26-35,3,B,3,0,17,23831
1005000,P0099051,M,18-25,6,B,3,1,2,16415
1006052,P0037867,M,18-25,11,C,1,1,1,17129
1003738,P0070231,M,26-35,5,C,4+,0,2,7719
1006732,P0076262,M,55+,19,A,4+,0,8,2091
1006387,P0082233,M,26-35,8,B,3,0,13,15891
1009002,P0054678,M,26-35,7,C,4+,1,14,22322
1006536,P0022963,M,36-45,13,A,3,0,12,19856
1004913,P0074360,M,36-45,14,B,4+,1,9,4847
1002066,P0059434,F,36-45,20,B,4+,0,7,1746
1008723,P0076617,F,26-35,4,A,2,1,10,19625
1005380,P0030269,M,18-25,14,A,1,0,3,23512
1005107,P0086312,M,26-35,5,B,2,0,17,20803
1006726,P0089732,M,26-35,0,C,2,0,8,14659
1004373,P0091494,M,18-25,19,C,4+,0,18,18238
1009945,P0098905,M,0-17,8,C,0,0,7,850
1003082,P0087225,M,51-55,3,A,0,0,7,942
1009967,P0092867,F,51-55,1,A,1,0,16,13959
1007748,P0047528,F,18-25,5,C,3,1,15,19898
1001417,P0088972,M,18-25,1,B,4+,0,14,11720
1009306,P0075602,M,18-25,2,B,1,1,16,24442
1009808,P0043332,M,26-35,6,A,2,0,9,19994
1004974,P0088929,M,18-25,19,B,4+,1,10,18787
1004267,P0079206,M,51-55,16,B,2,0,15,17989
1001825,P0012251,M,18-25,8,A,1,0,10,17911
1008668,P0055717,M,26-35,8,C,0,0,2,20338
1006745,P0037027,F,18-25,18,A,1,0,5,13799
1001412,P0096551,M,55+,4,C,4+,0,8,13440
1008543,P0019583,F,51-55,5,C,4+,1,6,4171
1008587,P0060387,F,36-45,17,B,3,0,6,11566
1001728,P0033104,F,26-35,0,C,0,1,1,2474
1008164,P0022224,M,18-25,16,C,4+,1,16,13465
1009867,P0070624,M,26-35,13,A,0,0,18,5709
1006988,P0066058,M,26-35,14,B,4+,1,3,20289
1003504,P0039299,M,36-45,4,B,0,1,7,20419
1003967,P0088572,M,26-35,16,B,1,0,12,13409
1003786,P0095469,M,26-35,20,B,0,0,10,17867
1002122,P0087928,M,26-35,20,B,2,0,10,11912
1005079,P0083474,M,26-35,10,B,1,0,9,19760
1002571,P0014141,F,26-35,9,B,4+,0,11,379
1006073,P0033350,M,26-35,16,B,4+,1,8,21658
1006104,P0085082,M,18-25,0,B,3,0,18,20462
1003143,P0080871,M,26-35,4,C,2,0,4,2370
1007806,P0015077,F,51-55,15,B,3,1,2,10447
1008357,P0056015,M,26-35,6,C,1,0,13,6961
1004440,P0081147,M,26-35,11,B,3,1,14,17167
1004766,P0069180,M,18-25,7,B,1,0,15,17085
1006644,P0050857,M,36-45,17,B,3,0,13,18527
1003914,P0069840,M,46-50,0,A,0,0,6,18016
1005968,P0069902,M,26-35,19,C,1,1,6,1060
1006917,P0015577,M,26-35,11,A,1,0,1,3177
1009787,P0030002,M,51-55,3,B,0,1,15,606
1001728,P0060711,M,36-45,11,A,0,0,6,10114
1002365,P0049451,F,26-35,0,A,2,1,15,18799
1005492,P0059103,F,26-35,0,C,0,0,15,12580
1001698,P0038647,M,26-35,2,B,3,1,14,2903
1008186,P0044831,M,36-45,20,C,0,0,10,5399
1001395,P0076830,M,26-35,11,B,0,0,8,10409
1008400,P0090632,M,26-35,20,B,1,0,4,16192
1009082,P0046833,M,18-25,12,B,1,0,6,5249
1005171,P0034398,M,26-35,12,B,0,0,17,19674
1005360,P0071554,M,46-50,20,C,2,1,7,20272
1003502,P0060755,M,51-55,8,B,1,0,12,833
1001717,P0027706,M,18-25,17,B,3,0,4,4655
1003782,P0032340,M,36-45,0,C,3,0,14,1761
1005946,P0074994,M,26-35,5,A,0,0,4,4653
1006486,P0073884,M,51-55,4,B,0,1,16,4762
1009335,P0094361,M,36-45,3,B,2,0,1,20618
1005980,P0027482,M,55+,5,A,0,0,18,1069
1008266,P0064225,M,55+,2,B,4+,0,10,361
1005491,P0068849,M,26-35,16,A,4+,0,5,20763
1008192,P0084854,M,36-45,10,C,0,0,13,21099
1006588,P0051256,M,26-35,3,B,4+,0,6,15308
1008651,P0091110,M,26-35,19,C,3,1,4,3699
1004636,P0024650,M,18-25,0,B,0,1,16,20443
1002167,P0056118,M,18-25,3,B,3,1,8,16869
1002062,P0038930,M,36-45,2,C,3,1,16,15011
1003156,P0095707,F,26-35,9,C,4+,0,11,12640
1008860,P0021801,F,46-50,0,A,2,0,1,1134
1006161,P0061360,M,26-35,3,B,3,0,18,18023
1006305,P0097908,F,36-45,18,C,4+,1,4,14054
1007541,P0026559,M,26-35,0,C,2,0,11,1906
1005729,P0042334,M,26-35,15,C,4+,1,10,12455
1008330,P0023288,M,26-35,18,B,4+,0,16,14260
1006334,P0032398,F,26-35,19,A,0,0,10,18540
